modularity_class,rgb_color
0,"91,203,0"
1,"255,110,51"
2,"83,112,137"
3,"255,123,255"
4,"192,192,192"
5,"192,192,192"
6,"221,161,0"
7,"192,192,192"
8,"121,172,255"
9,"192,192,192"
10,"119,108,56"
11,"255,102,137"
12,"192,192,192"
13,"192,192,192"
14,"192,192,192"
15,"192,192,192"
16,"192,192,192"
17,"192,192,192"
18,"192,192,192"
19,"192,192,192"
20,"192,192,192"
21,"192,192,192"
22,"0,211,255"
23,"192,192,192"
24,"192,192,192"
25,"192,192,192"
26,"192,192,192"
27,"192,192,192"
28,"192,192,192"
29,"0,191,139"
30,"192,192,192"
31,"192,192,192"
32,"192,192,192"
